Numero,Cancion,Notas_Piano,Notas_Guitarra,Letra,Video_Bateria,Tono,Estado,Tipo,Audio
1,Recibe Toda La Gloria (Creo En Ti),https://drive.google.com/file/d/1PbL7ynSl1AcF6iD5iFPDVh3EN3N2C4SP/view,https://drive.google.com/file/d/1BnhWztjAMe5t5zxopKEIsiH0D2i5Q9yF/view,https://drive.google.com/file/d/1y240vffcq6DFAoJUn3rmIXQYjvD6wPtn/view,https://www.youtube.com/watch?v=JWkrMaGpHMk,G,OK,Lenta,https://music.youtube.com/watch?v=E2DMZvKC5Ss
2,Quiero Conocer A Jesús,https://drive.google.com/file/d/1ylpH364stxlefiIDnpTjw_VBLPQnPoOt/view,https://drive.google.com/file/d/1VgWI0BLUaGkJzg9ial3wfxVsGfsZB9Mv/view,https://drive.google.com/file/d/1yg3kl7dpiTK0UhCAYKZ0KrG_nImOXrf7/view,https://www.youtube.com/watch?v=IGXcDbFgF1Q,E,OK,Lenta,https://music.youtube.com/watch?v=Pn-PqlB_K4M
3,Te Doy Gloria,https://drive.google.com/file/d/1nDEcyXh-TYdf13_z8yJNlP0nzXtsjWnX/view,https://drive.google.com/file/d/1TMqixK2sSYx9VNmsBzqecjp4TF-wyHCs/view,https://drive.google.com/file/d/14LtnhYQRrF7k33_GzIaxIZV1fhlrhAdD/view,https://www.youtube.com/watch?v=bpWOMFJEEOI,C,OK,Movida,https://music.youtube.com/watch?v=BsFNAgJncfc
4,Hay Un Rey,https://drive.google.com/file/d/1R5xKuXe6S6Eg2RpBvapX1Lhto0OVG9sY/view,https://drive.google.com/file/d/1IhQ9bcz1Sta6PORGBqcfEI_zTSnhlsO4/view,https://drive.google.com/file/d/1iZk2ldmua8jRluJAtMsdofJY5Bxir0Yh/view,https://www.youtube.com/watch?v=fFSQvbruzl8,Dm,OK,Lenta,https://music.youtube.com/watch?v=WJ3WXJF23yU
5,Para Que Entre El Rey,https://drive.google.com/file/d/1TtfMF3PqwtsNf0YT7NgLLQNIEDMyUda0/view,https://drive.google.com/file/d/1O4AHwObjc9gW4Ytw19ue0mGglzLjCjEl/view,https://drive.google.com/file/d/10cc8GDZXECuHtGsKwLscGKhvVsK741dm/view,https://www.youtube.com/watch?v=pApH-qTQNn8,F#m,OK,Lenta,https://music.youtube.com/watch?v=PqpoGL4BUeA
6,He Decidido Seguir A Cristo,https://drive.google.com/file/d/1-5vVSOhsyvutNBimImCb58X1il10c8YQ/view,https://drive.google.com/file/d/1uwfVX-YqmEIpd-4wwBxonwzSqe1rn6Pq/view,https://drive.google.com/file/d/1osbn0muMtlEkhX7KslbwjthnS2SF6QRo/view,-,A,OK,Lenta,-
7,Digno,https://drive.google.com/file/d/15Qh3KJBA_PJT5FZl6iVKGBoGt-zt-EKl/view,https://drive.google.com/file/d/11qA8veRKexOaSjYiE0dPxpAJNn5e0hIx/view,https://drive.google.com/file/d/1GXNj3suDT3B2hvfv0rV4jQkdl4bCwdKb/view,https://www.youtube.com/watch?v=EON_V2xXV3c,G,OK,Lenta,https://music.youtube.com/watch?v=rx_alw9-jTs
8,Atrae Mi Corazón,https://drive.google.com/file/d/1PzKOx9I5KzJjWWxwkHH_z0q7W0aRQTvy/view,https://drive.google.com/file/d/166GW9FwBAbsZoLboyPb5GjFn3aPZdSY9/view,https://drive.google.com/file/d/1pxxg-Y_rQynWnfS4htwBCn5dqJs43w1-/view,https://www.youtube.com/watch?v=IMC5Y6ULeSU,C,OK,Lenta,https://music.youtube.com/watch?v=pohE9BbBycM
9,Como La Primera Vez,https://drive.google.com/file/d/1jICoTiUrw7TYQBy4pFeVc952EpIv3jid/view,https://drive.google.com/file/d/16DlD1MroJSP6TFCyHu4uEGsueczg5mUc/view,https://drive.google.com/file/d/1LDb1FZnnbZrBv9mP2I8rJhymOJzSDfZM/view,https://www.youtube.com/watch?v=aLzICL_gPgA,F#m,OK,Lenta,https://music.youtube.com/watch?v=MFVmIWo4K6A
10,Fluye,https://drive.google.com/file/d/1ueKCjYxSY_MauTSXjt9hSm4E6Dj5YT4V/view,https://drive.google.com/file/d/1vAA588Qp1OvvpI5qDSn63qQqPP7BkrS5/view,https://drive.google.com/file/d/1AlGYNfpMyGwr4f6I-XmphU9s-kJQqcLQ/view,-,D,OK,Lenta,-
11,Dios De Lo Imposible,https://drive.google.com/file/d/118zCOrMMtkHacBR7KHqWd2Sk5ncDXt3M/view,https://drive.google.com/file/d/1xjV7Il7VC1O7EPXw-USrV3ma88de5DCf/view,https://drive.google.com/file/d/1SvkbF07oWhyzjhMcJ_neg8JPn0SO32tu/view,https://www.youtube.com/watch?v=e4nuY1A1o4Q,Bm,OK,Lenta,https://music.youtube.com/watch?v=ZklsuEw8OOg
12,La Tierra Canta,https://drive.google.com/file/d/10BfUFQFVDyGANINOd-20NvEt2BVQVqQQ/view,https://drive.google.com/file/d/1wFT5tzqVmIpY2MHWFXIu5mRmRnjDpN9j/view,https://drive.google.com/file/d/1bAm2AANL5toFu6WQqqmPrHp4W2G-xzIb/view,https://www.youtube.com/watch?v=Z7Zh8ZGsyDg,Bm,OK,Lenta,https://music.youtube.com/watch?v=pCtHNZEC3Vs
13,Hay Libertad,https://drive.google.com/file/d/1qJS-OEqXFIP_pog-S87ugurIu7A0JSd1/view,https://drive.google.com/file/d/19o9W8YNpfaAMneDYlu_NvwTa_nI__3ql/view,https://drive.google.com/file/d/1UxLQYj51A6_PaKgEYysIwd96FXKwqzgL/view,https://www.youtube.com/watch?v=ubfRUMKKGeY,C#m,OK,Movida,https://music.youtube.com/watch?v=NrBQK-AjBq8
14,Que Ruja El Leon,https://drive.google.com/file/d/1UeWMUDOPcE5hukn5pmwGRcGVzY5KlFUP/view,https://drive.google.com/file/d/1mUprXSPQ0yI9irbDEMqaMMw-09Og4-4k/view,https://drive.google.com/file/d/15ppnJK0y5BWwzbd_IwIxVsgtzxRl0q_k/view,https://www.youtube.com/watch?v=LMbPDhod3Lc,C#m,OK,Lenta,https://music.youtube.com/watch?v=t2-7MlSfzSs
15,Digno De Adorar,https://drive.google.com/file/d/1beshuS82f4NIEOnxwFG4I3C4xR_0zCcr/view,https://drive.google.com/file/d/16EZrmkojJsKUEXd_Z_yN1EYKKVQ-PC-x/view,https://drive.google.com/file/d/16HL9yv0V1_KsGkH9_6QKxKkoHwWMzSEY/view,https://www.youtube.com/watch?v=OL_gn_TinZw,C,OK,Lenta,https://music.youtube.com/watch?v=LuoXk8U8I34
16,Toda Lengua Y Toda Nacion,https://drive.google.com/file/d/157sb-4thpT4Hi6SrP2W1YV2nqAAgeJVJ/view,https://drive.google.com/file/d/1kehz7AMP9CLHcAVKwEQP4OXsU5nQiOjA/view,https://drive.google.com/file/d/1tE5ubdmDgAFo7mWD7LrYRXhOlEs-nk57/view,https://www.youtube.com/watch?v=Xrxn5qA8Bhc,A,OK,Movida,https://music.youtube.com/watch?v=K6VVzQr5dw4
17,Grande Y Fuerte,https://drive.google.com/file/d/1TUW8HEIzaUVOieyF8iZWTE_mYvCbkB9H/view,https://drive.google.com/file/d/1wj9RpgRlieNb2Aj1ShJiVbraN0Vhs2_3/view,https://drive.google.com/file/d/1b2GbMkdSEyEd5OzaiOCY7etpB3XOdfhI/view,https://www.youtube.com/watch?v=8Q9LqFIKu0k,Am,OK,Movida,https://music.youtube.com/watch?v=YOFJJquEK2k
18,Soy De Mi Amado,https://drive.google.com/file/d/12TwL4J3uEYB-UbXx_pbOJvx2AgEqyDH9/view,https://drive.google.com/file/d/1IVsCBvg9kFY92cpVYAYMIjnFQAZWv2se/view,https://drive.google.com/file/d/1-CQcaFcp-s6gzIhoD0w5oBwIkflnkpWk/view,https://www.youtube.com/watch?v=Tclc1oYry5c,C,OK,Movida,https://music.youtube.com/watch?v=MMPdv3ONOhU
19,Es El,https://drive.google.com/file/d/1w7T2TE0-A_NHHoflx0RWr0j0crKjU6j7/view,https://drive.google.com/file/d/1-qiCzhzx8NB9m9lixfstTxhU2qc0Defx/view,https://drive.google.com/file/d/1ifKObHyToqemWBo-tdIqHI3P9h-T3B-o/view,https://www.youtube.com/watch?v=HX_N3cagexA,Bb,OK,Lenta,https://music.youtube.com/watch?v=GmKYb7nl8rM
20,Dame A Cristo,https://drive.google.com/file/d/1DanuJITwhUFlArF7NYaWGofVHE48mp0d/view,https://drive.google.com/file/d/1NUwlx17y0JHebcVsZR8UAIItymvtoY1A/view,https://drive.google.com/file/d/19Bcb75ch5JHhu9h2aqaUbGHu5sTG2axu/view,https://www.youtube.com/watch?v=E0c1mWzM42A,C,OK,Lenta,https://music.youtube.com/watch?v=iWjftDB58Ic
21,Fiesta En El Desierto,https://drive.google.com/file/d/1KiD7KGWDFmVYK_P0aUgH0V28kkGSqG2a/view,https://drive.google.com/file/d/1UnGTOzNP28wgJnZjPS7cuMTXig_zt6el/view,https://drive.google.com/file/d/1XVTkdVw0R6XS2fiaQcKx-eRKEta8tfn_/view,https://www.youtube.com/watch?v=V110CN-23Dk,Bm,OK,Movida,https://music.youtube.com/watch?v=hk2kzCj1L6w
22,Cristo Vive Hoy,https://drive.google.com/file/d/1CI2SW8es5UDPDHZpH28Z-SGp6yehRogi/view,https://drive.google.com/file/d/1JW1auXYv0xX61DwqjRJ8_YxOgvqjYSNk/view,https://drive.google.com/file/d/1dRN5G4xXuG2QaBh5llrZsmyCbzb75gEi/view,https://www.youtube.com/watch?v=Zy4VfURkBHs,B,OK,Movida,https://music.youtube.com/watch?v=0jKEZ7rEtQc